drug,module,model,f1,balanced_accuracy,auprc
CHL,paper_ready50,RF_balanced,0.8829973532062544,0.9079117899644216,0.8893203644759295
CHL,paper_ready50_plus_chi2_200,LR_balanced,0.8756321426847369,0.9068522880628145,0.8945356157703035
CHL,paper_ready50_plus_chi2_200,RF_balanced,0.870560280556188,0.8995407618697092,0.8808316238746942
CHL,paper_ready50_plus_chi2_500,LR_balanced,0.8650628179424394,0.9096845785793154,0.8859897584662785
CHL,paper_ready50_plus_chi2_500,RF_balanced,0.8542311957599369,0.8918579315421421,0.8762231223975074
CHL,sample_graph_only,LR_balanced,0.8134049731594989,0.8796374064531959,0.86203286127747
CHL,sample_graph_only,RF_balanced,0.8184947429354932,0.8948479020979021,0.8399381348637704
FOX,accessory200_plus_functional_like,LR_balanced,0.9524780744942035,0.9705290675838621,0.9581486934982888
FOX,accessory200_plus_functional_like,RF_balanced,0.9379782414265173,0.9627701674277016,0.9569186972088032
FOX,accessory200_plus_gene_graph_embedding,LR_balanced,0.948217481957749,0.9724533989602483,0.9582975261841452
FOX,accessory200_plus_gene_graph_embedding,RF_balanced,0.9378918263515964,0.9607001522070016,0.9560890417367816
FOX,accessory200_plus_sample_graph,LR_balanced,0.946487746176289,0.9743712071794264,0.9585695951576718
FOX,accessory200_plus_sample_graph,RF_balanced,0.9237892658434,0.9535782482357825,0.9560187216183169
FOX,accessory_chi2_200,LR_balanced,0.9524780744942035,0.9705290675838621,0.9581486934982888
FOX,accessory_chi2_200,RF_balanced,0.9377787644454311,0.9607001522070016,0.9565999487959208
FOX,accessory_chi2_500,LR_balanced,0.914607287767095,0.9504239063828105,0.9493443328029846
FOX,accessory_chi2_500,RF_balanced,0.9171799836686747,0.9489802130898022,0.954760630207507
FOX,ensemble_top_50,LR_balanced,0.9284488859099537,0.9600978473581213,0.9554260024379985
FOX,ensemble_top_50,RF_balanced,0.9339786394958808,0.9627832137421178,0.9533015749173132
FOX,ensemble_top_500,LR_balanced,0.8812457411715847,0.9438609183814662,0.954249986344515
FOX,ensemble_top_500,RF_balanced,0.9161897831428792,0.968100970566724,0.9580259596456133
FOX,gene_graph_embedding_only,LR_balanced,0.8895768502679776,0.9615074423293601,0.9202288784586187
FOX,gene_graph_embedding_only,RF_balanced,0.9201393480933711,0.9510378738460931,0.952785806997716
FOX,paper_ready50,LR_balanced,0.9436310170830008,0.9637095020656665,0.9713045231575399
FOX,paper_ready50,RF_balanced,0.9517295796939845,0.9705283757338551,0.9652828433116537
FOX,paper_ready50_plus_chi2_200,LR_balanced,0.9512930921301332,0.9724468758030402,0.9706337911955052
FOX,paper_ready50_plus_chi2_200,RF_balanced,0.9543925210591877,0.9684518373559469,0.9653281783899502
FOX,paper_ready50_plus_chi2_500,LR_balanced,0.9393615122638111,0.9673863883452924,0.9607262839744858
FOX,paper_ready50_plus_chi2_500,RF_balanced,0.9386255124186159,0.9651583348158691,0.9610486923322641
FOX,sample_graph_only,LR_balanced,0.9057005788605714,0.9606557749708435,0.9478694347052986
FOX,sample_graph_only,RF_balanced,0.8964026101200739,0.9410828440965427,0.9398620855116422
